               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.014177,           0.0053184,                   0,             0.99815,                   1,             0.99499,             0.91109,            0.011077,           0.0025607,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.014319,            0.005322,                   0,             0.99864,                   1,             0.99499,             0.91008,            0.011099,           0.0025565,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.014163,           0.0052421,                   0,             0.99809,             0.99914,             0.99499,             0.91114,            0.011092,           0.0025454,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.01431,           0.0052626,                   0,              0.9981,             0.99914,             0.99499,             0.91028,            0.011113,           0.0025554,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.01419,           0.0052766,                   0,             0.99861,                   1,             0.99499,             0.90924,            0.011141,           0.0025581,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.014077,           0.0052841,                   0,             0.99819,                   1,             0.99499,              0.9102,            0.011132,           0.0025608,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.014244,           0.0053262,                   0,             0.99819,                   1,             0.99497,             0.90962,            0.011143,           0.0025726,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.014305,           0.0052901,                   0,             0.99819,                   1,             0.99497,             0.91134,            0.011148,            0.002575,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.014179,           0.0051852,                   0,             0.99819,                   1,             0.99497,             0.91092,            0.011167,           0.0025728,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.014254,           0.0051758,                   0,             0.99819,                   1,             0.99494,             0.91114,             0.01114,           0.0025676,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.014093,           0.0051392,                   0,              0.9982,                   1,             0.99489,             0.91303,            0.011102,           0.0025657,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.01403,           0.0052388,                   0,             0.99818,                   1,             0.99482,             0.91239,              0.0111,           0.0025676,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.013868,           0.0052691,                   0,             0.99817,                   1,             0.99479,             0.91226,            0.011064,           0.0025657,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.013993,           0.0052516,                   0,             0.99817,                   1,             0.99477,             0.91239,            0.011057,            0.002563,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.01375,           0.0051945,                   0,             0.99818,                   1,             0.99478,             0.91187,            0.011055,           0.0025596,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.014047,           0.0052489,                   0,             0.99819,                   1,             0.99485,             0.91243,            0.011053,           0.0025602,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.013975,           0.0051849,                   0,              0.9982,                   1,             0.99491,             0.91182,            0.011037,           0.0025591,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.013795,           0.0051916,                   0,              0.9982,                   1,             0.99491,             0.91088,            0.011038,           0.0025635,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.013722,           0.0052239,                   0,             0.99818,                   1,             0.99487,             0.91072,            0.011044,           0.0025628,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.013751,           0.0050369,                   0,              0.9974,             0.99914,             0.99487,             0.91188,            0.011052,             0.00256,                   0,            0.005875,            0.005875,            0.005875
